group kingdom phylum class order family genus species
ASV00247 Fungi Ascomycota Leotiomycetes Helotiales unclassified unclassified unclassified
ASV00248 Fungi Ascomycota Dothideomycetes Dothideales Aureobasidiaceae Aureobasidium Aureobasidium_pullulans
ASV00249 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00250 Fungi Ascomycota Sordariomycetes Sordariales Lasiosphaeriaceae unclassified unclassified
ASV00251 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Volutella Volutella_sp
ASV00252 Fungi Ascomycota Dothideomycetes Pleosporales Cucurbitariaceae Pyrenochaeta Pyrenochaeta_keratinophila
ASV00253 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00254 Fungi Basidiomycota Agaricomycetes Agaricales Psathyrellaceae Parasola unclassified
ASV00255 Fungi Basidiomycota Agaricomycetes Corticiales Corticiaceae Laetisaria Laetisaria_arvalis
ASV00256 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00257 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_exigua
ASV00258 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Articulospora Articulospora_sp
ASV00259 Fungi Ascomycota Sordariomycetes Xylariales Bartaliniaceae Bartalinia Bartalinia_robillardoides
ASV00260 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium unclassified
ASV00261 Fungi Basidiomycota Agaricomycetes Polyporales Ganodermataceae Ganoderma Ganoderma_adspersum
ASV00262 Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Penicillium Penicillium_kongii
ASV00263 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae Thanatephorus Thanatephorus_cucumeris
ASV00264 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae Septoglomus Septoglomus_sp
ASV00265 Fungi Ascomycota Dothideomycetes Pleosporales Pleosporaceae Alternaria unclassified
ASV00266 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00267 Fungi Ascomycota Dothideomycetes Pleosporales unclassified unclassified unclassified
ASV00268 Fungi Ascomycota Pezizomycetes Pezizales Pyronemataceae Pulvinula unclassified
ASV00269 Fungi Basidiomycota Tremellomycetes Filobasidiales Filobasidiaceae Goffeauzyma Goffeauzyma_gastrica
ASV00270 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00271 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae Thanatephorus Thanatephorus_cucumeris
ASV00272 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_alpina
