"";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"FU02431";"Fungi";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliales_fam_Incertae_sedis";"Lecophagus";"Lecophagus_longisporus"
"FU02432";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02433";"Fungi";"Basidiomycota";"Cystobasidiomycetes";"Erythrobasidiales";"Erythrobasidiaceae";"Erythrobasidium";"Erythrobasidium_hasegawianum"
"FU02434";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU02435";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_sp"
"FU02436";"Fungi";"Ascomycota";"Sordariomycetes";"Pleurotheciales";"Pleurotheciaceae";"Pleurotheciella";"Pleurotheciella_sp"
"FU02437";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02438";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02439";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Paraphoma";"Paraphoma_chrysanthemicola"
"FU02440";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_turficola"
"FU02441";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"unclassified"
"FU02442";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Strophariaceae";"Tubaria";"Tubaria_sp"
"FU02443";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU02444";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Septoriella";"Septoriella_hirta"
"FU02445";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Cyphellophoraceae";"Cyphellophora";"Cyphellophora_pauciseptata"
"FU02446";"Fungi";"Ascomycota";"Eurotiomycetes";"unclassified_Eurotiomycetes";"unclassified_Eurotiomycetes";"unclassified_Eurotiomycetes";"unclassified_Eurotiomycetes"
"FU02447";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Leptosphaeriaceae";"Plenodomus";"Plenodomus_biglobosus"
"FU02448";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02449";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02450";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Ascochyta";"Ascochyta_sp"
"FU02451";"Fungi";"Ascomycota";"Sordariomycetes";"Xylariales";"Xylariaceae";"Xylaria";"Xylaria_allantoidea"
"FU02452";"Fungi";"Basidiomycota";"Tremellomycetes";"Tremellales";"unclassified_Tremellales";"unclassified_Tremellales";"unclassified_Tremellales"
"FU02453";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiales_fam_Incertae_sedis";"Cadophora";"unclassified"
"FU02454";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"Podospora";"Podospora_sp"
"FU02455";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"unclassified_Pleosporales";"unclassified_Pleosporales";"unclassified_Pleosporales"
"FU02456";"Fungi";"Ascomycota";"Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes"
"FU02457";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"unclassified"
