group;kingdom;phylum;class;order;family;genus;species
ASV00727;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Didymellaceae(100);Didymella(92);unclassified
ASV00728;Fungi(100);Ascomycota(100);Lecanoromycetes(100);Caliciales(100);Caliciaceae(100);Amandinea(100);Amandinea_punctata(100)
ASV00729;Fungi(98);Ascomycota(81);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00730;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Nectriaceae(100);Ilyonectria(97);Ilyonectria_mors-panacis(97)
ASV00731;Fungi(100);Ascomycota(100);Sordariomycetes(100);Glomerellales(100);Glomerellaceae(100);Colletotrichum(94);Colletotrichum_graminicola(93)
ASV00732;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00733;Fungi(100);Glomeromycota(100);Glomeromycetes(100);Glomerales(100);Glomeraceae(100);Funneliformis(94);Funneliformis_mosseae(66)
ASV00734;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Leptosphaeriaceae(100);Plenodomus(100);Plenodomus_biglobosus(100)
ASV00735;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00736;Fungi(97);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00737;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00738;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Hyaloscyphaceae(73);Calycina(72);unclassified
ASV00739;Fungi(100);Basidiomycota(100);Tremellomycetes(100);Filobasidiales(100);Filobasidiaceae(100);Goffeauzyma(100);Goffeauzyma_gilvescens(62)
ASV00740;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00741;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Nectriaceae(100);Fusarium(67);unclassified
ASV00742;Fungi(100);Ascomycota(100);Sordariomycetes(98);Sordariales(92);Lasiosphaeriaceae(86);unclassified;unclassified
ASV00743;Fungi(100);Rozellomycota(72);unclassified_Rozellomycota(71);unclassified_Rozellomycota(71);unclassified_Rozellomycota(71);unclassified_Rozellomycota(71);Rozellomycota_sp(71)
ASV00744;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Bionectriaceae(100);Clonostachys(100);Clonostachys_intermedia(81)
ASV00745;Fungi(100);Basidiomycota(64);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00746;Fungi(100);Basidiomycota(99);Agaricomycetes(99);Sebacinales(99);Serendipitaceae(96);Serendipita(96);Serendipita_sp(96)
ASV00747;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00748;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00749;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Thelephorales(100);Thelephoraceae(100);unclassified;unclassified
ASV00750;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Agaricales(100);Strophariaceae(100);Hypholoma(100);Hypholoma_fasciculare(100)
ASV00751;Fungi(100);Ascomycota(100);Eurotiomycetes(100);Chaetothyriales(100);Herpotrichiellaceae(99);Rhinocladiella(98);Rhinocladiella_sp(98)
ASV00752;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00753;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Didymellaceae(100);Didymella(62);Didymella_urticicola(62)
ASV00754;Fungi(100);Ascomycota(100);Dothideomycetes(100);Capnodiales(100);Teratosphaeriaceae(94);Devriesia(94);Devriesia_sp(94)
ASV00755;Fungi(100);Basidiomycota(68);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00756;Fungi(100);Ascomycota(100);Eurotiomycetes(98);Chaetothyriales(98);Herpotrichiellaceae(94);Exophiala(83);Exophiala_lecanii-corni(64)
ASV00757;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00758;Fungi(100);Basidiomycota(62);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00759;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00760;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Hyaloscyphaceae(89);Calycina(89);unclassified
ASV00761;Fungi(100);Ascomycota(99);Leotiomycetes(97);Helotiales(95);unclassified;unclassified;unclassified
ASV00762;Fungi(100);Basidiomycota(100);Wallemiomycetes(100);Wallemiales(100);Wallemiaceae(100);Wallemia(100);Wallemia_muriae(91)
ASV00763;Fungi(100);Mortierellomycota(100);Mortierellomycetes(100);Mortierellales(100);Mortierellaceae(100);Mortierella(100);Mortierella_elongata(86)
ASV00764;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Cantharellales(81);Ceratobasidiaceae(81);unclassified_Ceratobasidiaceae(70);Ceratobasidiaceae_sp(70)
ASV00765;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Helotiaceae(100);Articulospora(100);Articulospora_proliferata(85)
ASV00766;Fungi(100);Ascomycota(100);Sordariomycetes(100);Coniochaetales(100);unclassified_Coniochaetales(100);unclassified_Coniochaetales(100);Coniochaetales_sp(100)
ASV00767;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Sebacinales(100);Serendipitaceae(100);Serendipita(100);Serendipita_sp(100)
ASV00768;Fungi(100);Ascomycota(100);Lecanoromycetes(100);Teloschistales(100);Teloschistaceae(100);Flavoplaca(84);Flavoplaca_sp(81)
ASV00769;Fungi(100);Ascomycota(100);Dothideomycetes(100);Capnodiales(100);Mycosphaerellaceae(100);Septoria(82);Septoria_glycinicola(74)
